index,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Platform_Unified
462,2012.0,Role-Playing,1.94,0.84,0.03,0.24,3.04,93.0,74.0,5.8,3725.0,M,Microsoft
463,2010.0,Adventure,1.29,1.21,0.06,0.47,3.03,87.0,107.0,7.7,2759.0,M,Sony
469,2013.0,Sports,0.61,1.85,0.11,0.44,3.01,87.0,26.0,6.3,616.0,E,Sony
471,2012.0,Shooter,1.38,1.32,0.02,0.28,3.0,91.0,39.0,8.6,1247.0,M,Microsoft
472,2010.0,Platform,2.04,0.63,0.12,0.22,3.0,73.0,78.0,7.0,131.0,E,Nintendo
473,2012.0,Sports,2.6,0.2,0.01,0.19,3.0,88.0,41.0,7.2,131.0,E,Microsoft
480,2011.0,Role-Playing,1.58,1.01,0.0,0.38,2.96,85.0,73.0,5.9,2748.0,T,
481,2014.0,Action,1.01,1.43,0.05,0.47,2.96,84.0,85.0,8.1,1886.0,M,Sony
484,2014.0,Shooter,1.84,0.8,0.04,0.27,2.95,86.0,68.0,6.4,2658.0,M,Microsoft
485,2010.0,Shooter,1.33,1.1,0.08,0.44,2.95,88.0,59.0,8.5,572.0,M,Sony
493,2013.0,Shooter,1.88,0.77,0.0,0.27,2.92,78.0,7.0,4.3,700.0,M,Microsoft
507,2012.0,Sports,2.53,0.15,0.0,0.17,2.86,81.0,36.0,5.8,179.0,E,Microsoft
509,2013.0,Action,1.07,1.31,0.06,0.42,2.85,83.0,29.0,7.8,1530.0,M,Sony
513,2011.0,Fighting,1.98,0.53,0.0,0.34,2.84,84.0,60.0,8.4,494.0,M,Sony
518,2010.0,Action,1.87,0.55,0.11,0.29,2.82,90.0,59.0,8.2,791.0,M,Sony
522,2010.0,Shooter,1.28,1.04,0.07,0.42,2.81,75.0,56.0,7.5,286.0,M,Sony
529,2014.0,Action,1.28,0.98,0.07,0.46,2.79,80.0,90.0,7.9,2944.0,T,Sony
536,2010.0,Racing,1.05,1.23,0.03,0.47,2.78,89.0,59.0,7.2,301.0,E10+,Sony
537,2011.0,Action,1.35,1.13,0.0,0.3,2.78,81.0,11.0,5.6,31.0,E10+,Nintendo
538,2011.0,Shooter,0.89,1.43,0.0,0.46,2.78,89.0,61.0,7.5,4926.0,M,
539,2015.0,Fighting,1.5,0.8,0.0,0.48,2.78,83.0,81.0,7.7,836.0,M,Sony
541,2011.0,Shooter,1.45,0.86,0.09,0.38,2.77,84.0,85.0,7.9,942.0,M,Sony
545,2011.0,Action,1.25,1.14,0.07,0.3,2.76,84.0,70.0,7.6,490.0,M,Microsoft
556,2011.0,Adventure,1.52,0.92,0.02,0.24,2.7,89.0,83.0,7.8,893.0,M,Microsoft
558,2011.0,Sports,2.42,0.11,0.0,0.16,2.69,78.0,55.0,5.9,94.0,E,Microsoft
560,2013.0,Shooter,0.89,1.33,0.08,0.39,2.69,73.0,88.0,6.8,2102.0,M,Sony
561,2010.0,Sports,2.38,0.12,0.0,0.18,2.69,84.0,47.0,5.7,120.0,E,Microsoft
565,2010.0,Puzzle,1.63,0.51,0.35,0.18,2.67,79.0,51.0,7.7,18.0,E,Nintendo
571,2016.0,Sports,0.43,2.05,0.0,0.17,2.65,84.0,50.0,5.5,201.0,E,Microsoft
578,2011.0,Role-Playing,0.78,0.73,0.89,0.23,2.63,79.0,53.0,6.6,707.0,T,Sony
580,2010.0,Sports,1.47,0.93,0.0,0.24,2.63,80.0,65.0,8.0,127.0,T,Microsoft
583,2011.0,Sports,2.31,0.14,0.01,0.16,2.62,90.0,42.0,7.7,134.0,E,Microsoft
586,2010.0,Shooter,1.56,0.8,0.04,0.21,2.61,74.0,71.0,6.7,288.0,M,Microsoft
604,2012.0,Sports,2.11,0.22,0.0,0.23,2.56,83.0,22.0,5.5,101.0,E,Sony
611,2010.0,Misc,0.26,1.65,0.33,0.28,2.52,75.0,15.0,8.0,5.0,E,Nintendo
612,2013.0,Sports,2.1,0.19,0.0,0.23,2.52,87.0,23.0,4.9,150.0,E,Microsoft
614,2012.0,Action,1.48,0.83,0.0,0.21,2.52,78.0,8.0,7.0,20.0,E10+,Nintendo
623,2015.0,Action,1.03,0.81,0.26,0.38,2.48,92.0,100.0,8.6,6383.0,M,Sony
628,2012.0,Sports,1.73,0.43,0.05,0.27,2.47,90.0,26.0,8.0,99.0,E,Sony
629,2011.0,Action,0.86,1.04,0.18,0.38,2.47,82.0,50.0,7.7,384.0,M,Sony
631,2014.0,Sports,1.47,0.54,0.01,0.43,2.45,83.0,50.0,7.0,291.0,E,Sony
638,2010.0,Action,1.28,0.93,0.0,0.22,2.43,79.0,13.0,8.0,34.0,E10+,Nintendo
640,2016.0,Shooter,1.46,0.74,0.0,0.22,2.42,78.0,17.0,3.1,290.0,M,Microsoft
641,2015.0,Sports,2.08,0.08,0.0,0.26,2.42,84.0,23.0,6.1,124.0,E,Microsoft
649,2010.0,Sports,0.29,1.17,0.54,0.41,2.41,77.0,40.0,6.8,85.0,E,Sony
653,2011.0,Shooter,1.44,0.7,0.04,0.22,2.4,82.0,73.0,8.1,487.0,M,Microsoft
661,2010.0,Sports,2.04,0.15,0.0,0.2,2.38,83.0,36.0,6.1,68.0,E,Sony
664,2011.0,Action,1.48,0.69,0.0,0.2,2.37,71.0,75.0,6.9,627.0,M,Microsoft
669,2010.0,Sports,1.74,0.45,0.0,0.18,2.37,42.0,10.0,5.5,16.0,E,Microsoft
675,2011.0,Misc,1.73,0.43,0.02,0.17,2.35,73.0,33.0,2.9,67.0,E10+,Microsoft
677,2015.0,Action,1.15,0.55,0.47,0.17,2.34,89.0,82.0,9.0,478.0,E10+,Nintendo
680,2015.0,Sports,1.95,0.15,0.0,0.24,2.34,86.0,14.0,6.2,115.0,E10+,Microsoft
681,2011.0,Sports,1.38,0.72,0.02,0.22,2.34,66.0,46.0,6.5,39.0,E,Microsoft
688,2012.0,Action,0.96,1.07,0.0,0.27,2.31,90.0,69.0,7.9,2954.0,T,
690,2012.0,Role-Playing,1.12,0.41,0.64,0.14,2.3,75.0,69.0,5.6,382.0,E,Nintendo
692,2013.0,Action,1.07,0.8,0.04,0.38,2.29,76.0,46.0,7.7,668.0,T,Sony
700,2010.0,Action,1.07,0.99,0.0,0.22,2.28,72.0,7.0,7.2,6.0,E10+,Nintendo
701,2010.0,Simulation,1.27,0.81,0.0,0.2,2.28,76.0,42.0,7.1,71.0,T,Microsoft
704,2011.0,Action,1.08,0.73,0.15,0.31,2.27,71.0,41.0,6.6,405.0,M,Sony
708,2016.0,Action,0.6,1.25,0.06,0.35,2.26,76.0,91.0,6.3,635.0,M,Sony
709,2016.0,Shooter,1.28,0.77,0.0,0.2,2.25,87.0,37.0,8.2,440.0,M,Microsoft
713,2011.0,Sports,1.93,0.15,0.0,0.17,2.25,79.0,31.0,5.5,56.0,E,Sony
714,2013.0,Action,1.23,0.63,0.04,0.35,2.25,80.0,89.0,7.5,914.0,M,Sony
720,2013.0,Platform,1.25,0.62,0.18,0.18,2.24,77.0,59.0,7.9,288.0,E,Nintendo
724,2013.0,Sports,1.98,0.06,0.0,0.19,2.23,80.0,32.0,5.6,136.0,E,Microsoft
727,2012.0,Shooter,1.05,0.72,0.1,0.35,2.23,91.0,25.0,8.2,858.0,M,Sony
730,2013.0,Action,1.24,0.79,0.0,0.19,2.22,80.0,37.0,7.6,127.0,E10+,Microsoft
733,2015.0,Shooter,0.55,1.19,0.14,0.33,2.21,73.0,40.0,7.3,480.0,M,Sony
738,2013.0,Racing,1.21,0.79,0.01,0.19,2.2,79.0,76.0,5.9,1095.0,E,Microsoft
742,2010.0,Racing,1.03,0.96,0.0,0.21,2.2,88.0,73.0,7.0,206.0,E10+,Microsoft
